ダウンロードした時刻：2023/03/14 16:20:56

,,,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田
年,月,日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,,,
,,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2019,12,24,3.7,8,1,5.4,8,1,1.6,8,1
2019,12,25,6.1,8,1,11.0,8,1,1.7,8,1
2019,12,26,6.0,8,1,10.0,8,1,4.4,8,1
2019,12,27,5.1,8,1,8.8,8,1,1.7,8,1
2019,12,28,3.8,8,1,5.3,8,1,1.7,8,1
2019,12,29,5.2,8,1,7.3,8,1,2.6,8,1
2019,12,30,5.6,8,1,8.2,8,1,2.3,8,1
2019,12,31,5.7,8,1,13.7,8,1,-0.6,8,1
2020,1,1,2.2,8,1,4.4,8,1,-0.3,8,1
2020,1,2,4.7,8,1,6.1,8,1,2.7,8,1
2020,1,3,4.7,8,1,7.1,8,1,2.3,8,1
2020,1,4,3.9,8,1,6.2,8,1,2.0,8,1
2020,1,5,2.9,8,1,4.5,8,1,0.0,8,1
2020,1,6,5.6,8,1,8.0,8,1,3.8,8,1
2020,1,7,2.6,8,1,6.0,8,1,-1.6,8,1
2020,1,8,7.2,8,1,11.7,8,1,2.9,8,1
2020,1,9,6.3,8,1,10.8,8,1,2.7,8,1
2020,1,10,3.7,8,1,6.4,8,1,2.3,8,1
2020,1,11,4.2,8,1,8.2,8,1,2.0,8,1
2020,1,12,4.3,8,1,8.4,8,1,1.6,8,1
2020,1,13,3.6,8,1,6.6,8,1,1.8,8,1
2020,1,14,3.3,8,1,6.4,8,1,0.9,8,1
2020,1,15,3.9,8,1,6.0,8,1,1.9,8,1
2020,1,16,4.8,8,1,6.6,8,1,2.3,8,1
2020,1,17,4.5,8,1,6.5,8,1,0.3,8,1
2020,1,18,2.2,8,1,5.8,8,1,-0.5,8,1
2020,1,19,2.7,8,1,5.3,8,1,0.0,8,1
2020,1,20,5.1,8,1,8.6,8,1,0.4,8,1
2020,1,21,2.9,8,1,4.6,8,1,0.3,8,1
2020,1,22,3.6,8,1,6.9,8,1,0.9,8,1
2020,1,23,4.1,8,1,6.9,8,1,1.2,8,1
2020,1,24,4.2,8,1,8.7,8,1,2.5,8,1
2020,1,25,2.4,8,1,4.3,8,1,-0.3,8,1
2020,1,26,2.8,8,1,5.6,8,1,-0.7,8,1
2020,1,27,4.4,8,1,7.0,8,1,0.4,8,1
2020,1,28,6.0,8,1,7.6,8,1,4.4,8,1
2020,1,29,7.0,8,1,8.5,8,1,5.2,8,1
2020,1,30,7.1,8,1,9.9,8,1,5.1,8,1
2020,1,31,4.2,8,1,6.0,8,1,2.7,8,1
2020,2,1,4.8,8,1,6.6,8,1,2.9,8,1
2020,2,2,5.4,8,1,8.0,8,1,1.9,8,1
2020,2,3,4.4,8,1,10.7,8,1,0.6,8,1
2020,2,4,2.3,8,1,4.8,8,1,0.2,8,1
2020,2,5,1.6,8,1,5.3,8,1,-2.8,8,1
2020,2,6,-2.1,8,1,0.2,8,1,-4.9,8,1
2020,2,7,-0.1,8,1,2.2,8,1,-1.8,8,1
2020,2,8,1.3,8,1,3.7,8,1,-2.5,8,1
2020,2,9,-1.0,8,1,0.5,8,1,-3.4,8,1
2020,2,10,0.8,8,1,3.3,8,1,-1.1,8,1
2020,2,11,1.7,8,1,3.4,8,1,-0.9,8,1
2020,2,12,2.6,8,1,9.2,8,1,-2.0,8,1
2020,2,13,6.5,8,1,11.4,8,1,2.5,8,1
2020,2,14,9.4,8,1,13.6,8,1,5.8,8,1
2020,2,15,6.5,8,1,9.5,8,1,1.4,8,1
2020,2,16,5.8,8,1,8.7,8,1,0.8,8,1
2020,2,17,6.3,8,1,10.1,8,1,0.8,8,1
2020,2,18,3.8,8,1,5.3,8,1,0.9,8,1
2020,2,19,5.0,8,1,7.3,8,1,2.3,8,1
2020,2,20,3.7,8,1,6.5,8,1,-0.5,8,1
2020,2,21,4.1,8,1,8.6,8,1,-1.1,8,1
2020,2,22,7.4,8,1,10.9,8,1,2.6,8,1
2020,2,23,5.4,8,1,7.6,8,1,2.4,8,1
2020,2,24,7.5,8,1,9.6,8,1,4.3,8,1
2020,2,25,6.9,8,1,8.9,8,1,4.6,8,1
2020,2,26,4.2,8,1,7.1,8,1,1.8,8,1
2020,2,27,2.1,8,1,4.7,8,1,0.6,8,1
2020,2,28,3.8,8,1,6.0,8,1,0.7,8,1
2020,2,29,5.6,8,1,10.4,8,1,1.2,8,1
2020,3,1,6.2,8,1,8.5,8,1,3.3,8,1
2020,3,2,6.0,8,1,10.4,8,1,1.2,8,1
2020,3,3,7.1,8,1,9.5,8,1,2.8,8,1
2020,3,4,5.9,8,1,9.4,8,1,1.4,8,1
2020,3,5,4.8,5,1,7.5,5,1,2.5,5,1
2020,3,6,4.5,8,1,6.2,8,1,1.9,8,1
2020,3,7,6.1,8,1,9.1,8,1,3.8,8,1
2020,3,8,9.0,8,1,14.7,8,1,4.0,8,1
2020,3,9,11.1,8,1,17.4,8,1,5.8,8,1
2020,3,10,12.9,8,1,16.0,8,1,8.3,8,1
2020,3,11,7.6,8,1,12.9,8,1,4.3,8,1
2020,3,12,6.7,8,1,10.0,8,1,2.6,8,1
2020,3,13,4.9,8,1,13.9,8,1,1.2,8,1
2020,3,14,3.6,8,1,6.9,8,1,0.1,8,1
2020,3,15,5.0,8,1,7.3,8,1,2.4,8,1
2020,3,16,3.3,8,1,6.1,8,1,1.7,8,1
2020,3,17,5.5,8,1,8.9,8,1,1.6,8,1
2020,3,18,8.9,8,1,12.3,8,1,5.1,8,1
2020,3,19,11.9,8,1,19.1,8,1,2.7,8,1
